scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-29.5_lon29.5_20240526_T35JQH_t110,17.572506,0.235383,9.043721,11.853707,0.132244,0.133842,0.329331
lat-29.5_lon29.5_20240526_T35JQH_t153,18.623968,0.290598,18.720726,13.153219,0.117166,0.107123,0.232379
lat-29.5_lon29.5_20240526_T35JQH_t154,27.259375,0.655812,9.374138,5.493066,0.043354,0.466071,0.676951
lat-30.0_lon115.5_20260102_T50JLM_t062,33.235196,0.935280,1.421033,0.990018,0.021789,0.908112,0.964175
lat-30.0_lon115.5_20260102_T50JLM_t097,34.742624,0.956472,1.397678,0.954120,0.018318,0.935078,0.982499
lat-30.0_lon115.5_20260102_T50JLM_t118,26.463852,0.771203,3.078972,2.040574,0.047512,0.682957,0.923423
lat-30.0_lon115.5_20260102_T50JLM_t137,32.122859,0.914156,1.910100,1.211008,0.024766,0.876282,0.973835
lat-30.0_lon115.5_20260102_T50JLM_t202,35.564767,0.950853,1.378392,0.873127,0.016663,0.908270,0.978333
lat-30.0_lon115.5_20260102_T50JLM_t207,37.145758,0.955540,1.110788,0.726852,0.013890,0.878435,0.979461
lat-31.5_lon117.5_20260303_T50JNL_t043,32.952729,0.891739,1.599279,0.797575,0.022509,0.822424,0.920146
lat-31.5_lon117.5_20260303_T50JNL_t123,34.560972,0.924046,1.486516,0.851782,0.018705,0.869234,0.953928
lat-31.5_lon117.5_20260303_T50JNL_t165,34.377673,0.922606,1.521713,0.693414,0.019104,0.875114,0.966283
lat-32.0_lon-59.5_20240325_T21HTE_t128,27.566828,0.781844,4.282010,5.825652,0.041846,0.662471,0.831119
lat-32.0_lon-59.5_20240325_T21HTE_t145,34.088040,0.932275,1.981869,1.392011,0.019751,0.864213,0.957497
lat-32.0_lon-59.5_20240325_T21HTE_t160,32.200292,0.919335,2.584139,1.457984,0.024546,0.869231,0.958222
lat-32.0_lon-59.5_20240325_T21HTE_t194,28.328740,0.851626,2.836398,2.803840,0.038332,0.783506,0.878204
lat-32.0_lon-59.5_20240325_T21HTE_t231,29.556448,0.897833,2.158155,2.222716,0.033280,0.831825,0.915715
lat-32.0_lon-59.5_20240325_T21HTE_t256,33.154929,0.932544,2.017148,1.761758,0.021991,0.886973,0.951793
lat-33.5_lon19.5_20250123_T34HCJ_t027,30.624315,0.897682,1.467633,1.055842,0.029430,0.843194,0.930151
lat-33.5_lon19.5_20250123_T34HCJ_t115,34.671530,0.940481,0.891704,0.747416,0.018468,0.904594,0.982873
lat-33.5_lon19.5_20250123_T34HCJ_t148,28.515654,0.804451,2.611932,1.500399,0.037516,0.705876,0.932755
lat-33.5_lon19.5_20250123_T34HCJ_t199,32.003780,0.887546,1.827309,0.772055,0.025108,0.845494,0.940641
lat-33.5_lon19.5_20250123_T34HCJ_t201,33.940204,0.934630,1.398609,0.855293,0.020090,0.890201,0.977195
lat-33.5_lon19.5_20250123_T34HCJ_t210,32.236295,0.901914,2.565157,1.418476,0.024445,0.839717,0.952529
lat-33.5_lon19.5_20250123_T34HCJ_t214,15.357239,0.437190,14.499414,6.029060,0.170662,0.361872,0.594264
lat-37.0_lon149.0_20250104_T55HFU_t127,27.019923,0.755588,4.851850,3.959170,0.044566,0.630396,0.888144
lat-40.0_lon-72.0_20260305_T18GYA_t173,20.597703,0.473610,23.276411,17.094912,0.093350,0.274942,0.555850
lat-40.0_lon-72.0_20260305_T18GYA_t222,31.578308,0.865253,3.141755,3.298230,0.026368,0.630115,0.863266
lat-40.0_lon-72.0_20260305_T18GYA_t239,26.282021,0.708563,8.249128,6.282011,0.048518,0.251165,0.606239
