scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-29.5_lon29.5_20240526_T35JQH_t110,23.894267,0.558071,7.431648,5.650022,0.063868,0.264458,0.449658
lat-29.5_lon29.5_20240526_T35JQH_t153,26.715549,0.708224,8.632678,4.681648,0.046155,0.431690,0.684115
lat-29.5_lon29.5_20240526_T35JQH_t154,28.908995,0.760298,5.695745,3.624489,0.035855,0.509042,0.688481
lat-30.0_lon115.5_20260102_T50JLM_t062,31.361269,0.922477,2.409022,1.164064,0.027036,0.885376,0.959774
lat-30.0_lon115.5_20260102_T50JLM_t097,31.951605,0.941633,2.565098,1.286510,0.025259,0.913439,0.976136
lat-30.0_lon115.5_20260102_T50JLM_t118,29.597478,0.902916,3.387958,1.545970,0.033123,0.832619,0.968832
lat-30.0_lon115.5_20260102_T50JLM_t137,30.508084,0.908622,3.032269,1.454895,0.029826,0.866140,0.969383
lat-30.0_lon115.5_20260102_T50JLM_t202,31.917897,0.938849,3.152361,1.342107,0.025357,0.884046,0.973673
lat-30.0_lon115.5_20260102_T50JLM_t207,33.164127,0.944129,2.863847,1.249491,0.021968,0.847789,0.974241
lat-31.5_lon117.5_20260303_T50JNL_t043,31.704970,0.908210,2.174010,0.912324,0.025987,0.835397,0.928974
lat-31.5_lon117.5_20260303_T50JNL_t123,32.715416,0.933604,2.220337,0.912944,0.023133,0.869573,0.959905
lat-31.5_lon117.5_20260303_T50JNL_t165,33.392268,0.941438,1.809683,0.818364,0.021399,0.888200,0.973568
lat-32.0_lon-59.5_20240325_T21HTE_t128,25.303903,0.818371,7.056960,4.747644,0.054301,0.687495,0.855837
lat-32.0_lon-59.5_20240325_T21HTE_t145,25.812005,0.859815,6.801554,3.923421,0.051215,0.753875,0.892040
lat-32.0_lon-59.5_20240325_T21HTE_t160,26.019072,0.869374,6.557552,3.730092,0.050009,0.782323,0.902559
lat-32.0_lon-59.5_20240325_T21HTE_t194,23.884108,0.789079,7.154746,4.470623,0.063943,0.717715,0.816040
lat-32.0_lon-59.5_20240325_T21HTE_t231,23.623615,0.787772,7.718088,4.730807,0.065890,0.699251,0.838770
lat-32.0_lon-59.5_20240325_T21HTE_t256,25.094082,0.847111,7.079167,4.287952,0.055628,0.776325,0.880994
