scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-29.5_lon29.5_20240526_T35JQH_t110,25.578932,0.693854,2.668053,4.510756,0.052608,0.478298,0.656418
lat-29.5_lon29.5_20240526_T35JQH_t153,29.049821,0.806393,2.065375,3.442555,0.035278,0.594072,0.789530
lat-29.5_lon29.5_20240526_T35JQH_t154,29.046488,0.770973,1.686267,3.370007,0.035292,0.532280,0.655411
lat-30.0_lon115.5_20260102_T50JLM_t062,34.802781,0.952505,0.999616,0.797884,0.018191,0.929783,0.972313
lat-30.0_lon115.5_20260102_T50JLM_t097,34.501980,0.958123,1.136318,0.959084,0.018832,0.936181,0.981324
lat-30.0_lon115.5_20260102_T50JLM_t118,31.363978,0.926728,1.069520,1.242328,0.027027,0.869816,0.968164
lat-30.0_lon115.5_20260102_T50JLM_t137,33.470389,0.935750,1.294549,1.017045,0.021207,0.903113,0.978527
lat-30.0_lon115.5_20260102_T50JLM_t202,35.595330,0.952427,1.077860,0.860473,0.016605,0.905544,0.977485
lat-30.0_lon115.5_20260102_T50JLM_t207,37.629845,0.961040,0.798298,0.695754,0.013137,0.883152,0.979444
lat-31.5_lon117.5_20260303_T50JNL_t043,34.835703,0.924670,0.856198,0.683721,0.018122,0.860498,0.934357
lat-31.5_lon117.5_20260303_T50JNL_t123,36.904485,0.958376,0.954504,0.643324,0.014282,0.915695,0.968117
lat-31.5_lon117.5_20260303_T50JNL_t165,36.488553,0.954841,0.789652,0.585531,0.014982,0.913315,0.975327
lat-32.0_lon-59.5_20240325_T21HTE_t128,29.569716,0.898966,1.834234,3.429881,0.033229,0.798383,0.857146
lat-32.0_lon-59.5_20240325_T21HTE_t145,34.705201,0.951735,1.452324,1.229955,0.018397,0.895489,0.965524
lat-32.0_lon-59.5_20240325_T21HTE_t160,34.920393,0.948378,1.707268,1.218453,0.017947,0.895616,0.974306
lat-32.0_lon-59.5_20240325_T21HTE_t194,28.035605,0.877249,2.070090,2.497542,0.039648,0.820249,0.871938
lat-32.0_lon-59.5_20240325_T21HTE_t231,29.259506,0.901956,1.918824,2.119984,0.034437,0.835942,0.915175
lat-32.0_lon-59.5_20240325_T21HTE_t256,32.735842,0.935674,1.669865,1.829389,0.023079,0.885747,0.946656
lat-33.5_lon19.5_20250123_T34HCJ_t027,30.160595,0.913101,0.793311,1.107272,0.031043,0.861967,0.916436
lat-33.5_lon19.5_20250123_T34HCJ_t115,34.780189,0.946916,0.559273,0.743238,0.018239,0.912834,0.983040
lat-33.5_lon19.5_20250123_T34HCJ_t148,29.419582,0.877191,1.010695,1.347379,0.033808,0.778572,0.942812
lat-33.5_lon19.5_20250123_T34HCJ_t199,33.910660,0.937032,0.687077,0.663160,0.020159,0.904894,0.955310
lat-33.5_lon19.5_20250123_T34HCJ_t201,35.663740,0.952681,0.789148,0.749259,0.016475,0.908693,0.982363
lat-33.5_lon19.5_20250123_T34HCJ_t210,31.188307,0.880847,2.160355,1.582405,0.027579,0.811501,0.941194
lat-33.5_lon19.5_20250123_T34HCJ_t214,25.206236,0.772542,0.952360,2.297123,0.054915,0.646906,0.760107
lat-37.0_lon149.0_20250104_T55HFU_t127,28.659934,0.883264,1.646966,2.460790,0.036898,0.795370,0.928498
lat-40.0_lon-72.0_20260305_T18GYA_t173,26.314753,0.689226,3.280949,8.121461,0.048335,0.397676,0.626624
lat-40.0_lon-72.0_20260305_T18GYA_t222,31.521120,0.867831,1.445328,3.203202,0.026543,0.623546,0.854159
lat-40.0_lon-72.0_20260305_T18GYA_t239,28.583672,0.809081,1.252904,4.595328,0.037223,0.320234,0.561608
lat-40.0_lon-72.0_20260305_T18GYA_t297,29.081599,0.761473,2.291551,6.200743,0.035150,0.400971,0.570345
lat-47.0_lon-69.0_20260106_T19GDJ_t089,41.336353,0.966995,0.356626,0.254875,0.008574,0.737094,0.890750
lat-47.0_lon-69.0_20260106_T19GDJ_t132,40.424229,0.967152,0.369368,0.259305,0.009523,0.828693,0.945860
lat-47.0_lon-69.0_20260106_T19GDJ_t214,29.061240,0.808392,0.810353,1.553265,0.035232,0.698705,0.849445
lat-47.0_lon-69.0_20260106_T19GDJ_t231,29.370308,0.843181,1.041568,1.477276,0.034000,0.722180,0.857483
lat-5.5_lon-37.5_20240629_T24MXV_t137,35.514690,0.950806,1.826847,1.030437,0.016760,0.904255,0.963041
lat-5.5_lon-37.5_20240629_T24MXV_t150,37.281818,0.962245,1.388562,1.393923,0.013674,0.877753,0.975957
lat-5.5_lon-37.5_20240629_T24MXV_t181,38.641790,0.966445,1.374356,1.267610,0.011693,0.887764,0.961878
lat-5.5_lon-37.5_20240629_T24MXV_t211,36.247246,0.951982,1.479117,1.509001,0.015404,0.770851,0.960035
lat-5.5_lon-37.5_20240629_T24MXV_t212,37.326251,0.961522,1.471018,1.549481,0.013605,0.845920,0.965143
lat-5.5_lon-37.5_20240629_T24MXV_t218,36.193818,0.943747,1.351603,1.396456,0.015499,0.826509,0.941446
lat-5.5_lon-37.5_20240629_T24MXV_t226,33.499934,0.925394,1.917462,2.201681,0.021135,0.768692,0.946101
lat-5.5_lon-37.5_20240629_T24MXV_t295,36.316156,0.952613,1.203040,1.138898,0.015282,0.855505,0.965909
lat-50.0_lon-71.0_20240120_T19FCE_t105,32.460344,0.887472,0.772497,1.015900,0.023822,0.753304,0.859997
lat-50.0_lon-71.0_20240120_T19FCE_t251,34.347182,0.908070,0.479610,0.691709,0.019171,0.789358,0.917906
lat13.0_lon14.0_20231029_T33PUQ_t033,22.908898,0.784803,2.654007,3.096465,0.071541,0.744407,0.881242
lat13.0_lon14.0_20231029_T33PUQ_t052,31.712263,0.930345,1.945669,1.292818,0.025965,0.897786,0.973755
lat13.0_lon14.0_20231029_T33PUQ_t053,31.558003,0.944523,2.909938,1.498102,0.026430,0.925701,0.981325
lat13.0_lon14.0_20231029_T33PUQ_t054,31.079640,0.935751,2.508180,1.512208,0.027927,0.905763,0.965834
lat13.0_lon14.0_20231029_T33PUQ_t058,35.034054,0.945772,1.403753,1.005092,0.017713,0.886780,0.954751
lat13.0_lon14.0_20231029_T33PUQ_t066,31.393552,0.935637,2.617002,1.599671,0.026935,0.898085,0.953838
lat13.0_lon14.0_20231029_T33PUQ_t070,36.165067,0.944465,1.149019,0.868570,0.015551,0.861403,0.947669
lat13.0_lon14.0_20231029_T33PUQ_t086,33.171703,0.922654,1.395867,0.888312,0.021949,0.881586,0.969534
lat13.0_lon14.0_20231029_T33PUQ_t089,33.909568,0.950612,1.638762,1.195693,0.020161,0.899162,0.959158
lat13.0_lon14.0_20231029_T33PUQ_t091,30.755034,0.927481,1.894785,1.466442,0.028990,0.880836,0.943158
lat13.0_lon14.0_20231029_T33PUQ_t114,38.317397,0.966676,2.127821,1.448529,0.012138,0.910759,0.962854
lat13.0_lon14.0_20231029_T33PUQ_t126,36.554427,0.952601,2.649061,1.894948,0.014869,0.900066,0.955191
lat13.5_lon40.7_20250330_T37PFQ_t029,34.352970,0.916279,0.871001,1.128951,0.019158,0.752466,0.928087
lat13.5_lon40.7_20250330_T37PFQ_t033,29.844502,0.771306,0.957956,1.067986,0.032194,0.637842,0.815275
lat13.5_lon40.7_20250330_T37PFQ_t072,32.345906,0.835226,0.553076,0.698881,0.024138,0.701995,0.918515
lat13.5_lon40.7_20250330_T37PFQ_t102,29.157848,0.698784,0.982542,1.490098,0.034842,0.502669,0.778568
lat13.5_lon40.7_20250330_T37PFQ_t103,32.693546,0.857272,0.802004,0.914316,0.023191,0.731081,0.879603
lat13.5_lon40.7_20250330_T37PFQ_t132,33.196426,0.936211,1.159002,0.935528,0.021887,0.903134,0.978980
lat13.5_lon40.7_20250330_T37PFQ_t134,33.837632,0.907923,0.929249,0.748891,0.020329,0.849146,0.956977
lat13.5_lon40.7_20250330_T37PFQ_t135,30.867192,0.860389,1.013198,1.375397,0.028618,0.770022,0.897175
lat13.5_lon40.7_20250330_T37PFQ_t212,35.717945,0.924666,0.668044,0.582904,0.016372,0.855937,0.970688
lat14.5_lon33.5_20251024_T36PWB_t069,34.075371,0.922082,1.661341,1.068733,0.019780,0.861157,0.923800
