lat-15.8_lon-69.8_20241031_T19LDC_t068,0.90
lat-15.8_lon-69.8_20241031_T19LDC_t102,0.34
lat-15.8_lon-69.8_20241031_T19LDC_t116,0.32
lat-20.0_lon-67.5_20231128_T19KFT_t002,0.37
lat-20.45_lon24.81_20250830_T35KKT_t069,0.39
lat-20.45_lon24.81_20250830_T35KKT_t129,0.38
lat-21.0_lon14.5_20250124_T33KVS_t113,0.28
lat-32.5_lon22.0_20240125_T34HEK_t167,0.35
lat12.5_lon75.5_20251224_T43PEP_t147,0.25
lat12.5_lon75.5_20251224_T43PEP_t198,0.29
lat19.5_lon-155.5_20250425_T5QKB_t013,0.23
lat19.5_lon-155.5_20250425_T5QKB_t037,0.30
lat19.5_lon-155.5_20250425_T5QKB_t054,0.30
lat19.5_lon-155.5_20250425_T5QKB_t055,0.37
lat19.5_lon-155.5_20250425_T5QKB_t104,0.27
lat23.0_lon57.5_20260129_T40QEL_t196,0.28
lat23.0_lon57.5_20260129_T40QEL_t202,0.28
lat23.0_lon57.5_20260129_T40QEL_t215,0.21
lat23.0_lon57.5_20260129_T40QEL_t217,0.21
lat28.0_lon-113.5_20230625_T12RTR_t070,0.27
lat28.0_lon-113.5_20230625_T12RTR_t120,0.26
lat30.05_lon31.25_20230626_T36RUU_t111,0.27
lat30.0_lon-9.5_20230804_T29RMP_t039,0.26
lat30.0_lon-9.5_20230804_T29RMP_t111,0.33
lat30.0_lon-9.5_20230804_T29RMP_t139,0.28
lat31.5_lon-100.0_20241001_T14RMV_t018,0.28
lat31.5_lon-100.0_20241001_T14RMV_t031,0.26
lat31.5_lon-100.0_20241001_T14RMV_t039,0.26
lat31.5_lon-6.5_20230824_T29RQQ_t089,0.21
lat31.5_lon35.5_20240803_T36SYA_t166,0.25
lat32.0_lon35.8_20240803_T36SYA_t197,0.25
lat33.45_lon-112.0_20231023_T12SUC_t092,0.25
lat33.45_lon-112.0_20231023_T12SUC_t104,0.20
lat34.5_lon-118.5_20250801_T11SLU_t045,0.26
lat34.5_lon-118.5_20250801_T11SLU_t064,0.26
lat34.5_lon-118.5_20250801_T11SLU_t152,0.20
lat34.5_lon-118.5_20250801_T11SLU_t188,0.23
lat34.5_lon-118.5_20250801_T11SLU_t220,0.25
lat35.68_lon139.75_20251201_T54SUE_t147,0.23
lat35.68_lon139.75_20251201_T54SUE_t163,0.28
lat36.0_lon139.5_20251201_T54SUE_t163,0.25
lat36.5_lon-119.5_20250601_T11SKA_t130,0.23
lat36.5_lon-119.5_20250601_T11SKA_t203,0.26
lat40.5_lon-117.0_20241004_T11TNE_t006,0.27
lat42.0_lon115.0_20230623_T50TLM_t150,0.26
lat42.0_lon115.0_20230623_T50TLM_t165,0.25
lat44.0_lon-71.5_20250603_T19TCJ_t132,0.21
lat44.0_lon-71.5_20250603_T19TCJ_t133,0.12
lat45.0_lon58.5_20231008_T40TFQ_t001,0.30
lat45.0_lon58.5_20231008_T40TFQ_t012,0.28
lat49.0_lon34.0_20250606_T36UWV_t085,0.27
lat49.0_lon34.0_20250606_T36UWV_t126,0.27
lat7.5_lon30.5_20241128_T35NRJ_t055,0.22
lat7.5_lon30.5_20241128_T35NRJ_t095,0.29
lat39.0_lon-106.0_20231006_T13SCD_t114,1.19
lat13.0_lon14.0_20231029_T33PUQ_t066,1.25
lat31.5_lon37.0_20240823_T37RCQ_t123,1.49
