scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-29.5_lon29.5_20240526_T35JQH_t110,29.936914,0.836247,1.935143,2.707336,0.031853,0.690623,0.879228
lat-29.5_lon29.5_20240526_T35JQH_t153,32.900682,0.883019,2.480225,2.204180,0.022645,0.708725,0.918730
lat-29.5_lon29.5_20240526_T35JQH_t154,32.496113,0.864065,1.746846,2.316837,0.023724,0.695591,0.845864
lat-30.0_lon115.5_20260102_T50JLM_t062,35.158091,0.958950,0.871688,0.759456,0.017462,0.936150,0.976865
lat-30.0_lon115.5_20260102_T50JLM_t097,34.357664,0.962593,0.960775,0.938214,0.019148,0.944276,0.983457
lat-30.0_lon115.5_20260102_T50JLM_t118,31.315868,0.928992,1.023281,1.244065,0.027177,0.872896,0.968672
lat-30.0_lon115.5_20260102_T50JLM_t137,33.188332,0.937961,1.204890,1.041506,0.021907,0.907233,0.978822
lat-30.0_lon115.5_20260102_T50JLM_t202,35.939154,0.959206,0.932795,0.808617,0.015960,0.921044,0.980660
lat-30.0_lon115.5_20260102_T50JLM_t207,37.380466,0.959108,0.691680,0.695095,0.013520,0.880797,0.980052
lat-31.5_lon117.5_20260303_T50JNL_t043,35.559025,0.937614,0.690235,0.605517,0.016674,0.880935,0.945528
lat-31.5_lon117.5_20260303_T50JNL_t123,37.885085,0.964158,0.715922,0.559129,0.012757,0.927263,0.974218
lat-31.5_lon117.5_20260303_T50JNL_t165,36.721384,0.957385,0.627411,0.554112,0.014586,0.919360,0.977293
lat-32.0_lon-59.5_20240325_T21HTE_t128,29.756671,0.911665,1.610822,3.159091,0.032521,0.826655,0.874682
lat-32.0_lon-59.5_20240325_T21HTE_t145,34.789583,0.956796,1.253877,1.201876,0.018219,0.906947,0.972090
lat-32.0_lon-59.5_20240325_T21HTE_t160,36.801051,0.968245,1.241749,0.991806,0.014453,0.936376,0.984512
lat-32.0_lon-59.5_20240325_T21HTE_t194,28.237339,0.885549,1.907851,2.416594,0.038738,0.833440,0.885418
lat-32.0_lon-59.5_20240325_T21HTE_t231,29.524295,0.910171,1.875694,2.153373,0.033403,0.854214,0.926515
lat-32.0_lon-59.5_20240325_T21HTE_t256,33.438931,0.949200,1.452545,1.687249,0.021284,0.911477,0.961715
lat-33.5_lon19.5_20250123_T34HCJ_t027,30.337606,0.922212,0.685768,1.058715,0.030417,0.875743,0.919828
lat-33.5_lon19.5_20250123_T34HCJ_t115,34.928806,0.951085,0.538598,0.714329,0.017929,0.919447,0.983552
lat-33.5_lon19.5_20250123_T34HCJ_t148,29.383529,0.881086,0.905480,1.333259,0.033949,0.791497,0.944777
lat-33.5_lon19.5_20250123_T34HCJ_t199,34.325006,0.943696,0.567194,0.610279,0.019220,0.915146,0.962167
lat-33.5_lon19.5_20250123_T34HCJ_t201,35.426130,0.956170,0.724827,0.748546,0.016931,0.921337,0.983909
lat-33.5_lon19.5_20250123_T34HCJ_t210,32.046939,0.899715,1.775432,1.377613,0.024983,0.831367,0.951539
lat-33.5_lon19.5_20250123_T34HCJ_t214,26.647087,0.776070,0.885026,1.924102,0.046521,0.652490,0.829928
lat-37.0_lon149.0_20250104_T55HFU_t127,29.035104,0.888936,1.506197,2.453332,0.035338,0.803316,0.930742
lat-40.0_lon-72.0_20260305_T18GYA_t173,30.094160,0.811282,5.543608,5.673450,0.031282,0.618959,0.849517
lat-40.0_lon-72.0_20260305_T18GYA_t222,32.849948,0.884267,0.935819,2.558059,0.022777,0.683282,0.900628
lat-40.0_lon-72.0_20260305_T18GYA_t239,34.058048,0.900985,1.223872,2.474107,0.019820,0.570077,0.870555
lat-40.0_lon-72.0_20260305_T18GYA_t297,32.737137,0.851400,2.618939,4.231116,0.023075,0.587702,0.841942
lat-47.0_lon-69.0_20260106_T19GDJ_t089,41.980282,0.964810,0.310981,0.224872,0.007961,0.727869,0.898440
lat-47.0_lon-69.0_20260106_T19GDJ_t132,41.198946,0.964265,0.324557,0.238836,0.008711,0.818995,0.949176
lat-47.0_lon-69.0_20260106_T19GDJ_t214,29.340413,0.817830,0.724213,1.505166,0.034118,0.713635,0.857312
lat-47.0_lon-69.0_20260106_T19GDJ_t231,30.521319,0.850290,0.870889,1.292335,0.029781,0.729969,0.890518
lat-5.5_lon-37.5_20240629_T24MXV_t137,36.967225,0.967548,1.523336,0.923577,0.014179,0.939678,0.975935
lat-5.5_lon-37.5_20240629_T24MXV_t150,36.851472,0.970359,1.188221,1.589684,0.014369,0.913322,0.977212
lat-5.5_lon-37.5_20240629_T24MXV_t181,33.302628,0.954896,1.369662,2.905997,0.021621,0.874475,0.825972
lat-5.5_lon-37.5_20240629_T24MXV_t211,35.814344,0.964693,1.136749,1.695504,0.016191,0.873144,0.962487
lat-5.5_lon-37.5_20240629_T24MXV_t212,35.208161,0.968189,1.316360,2.404073,0.017362,0.890474,0.948913
lat-5.5_lon-37.5_20240629_T24MXV_t218,38.296865,0.963161,0.907375,1.172612,0.012166,0.875039,0.962512
lat-5.5_lon-37.5_20240629_T24MXV_t226,33.501053,0.933544,1.762876,2.171858,0.021132,0.795547,0.945419
lat-5.5_lon-37.5_20240629_T24MXV_t295,37.885552,0.969763,0.935696,1.013695,0.012756,0.917518,0.974063
lat-50.0_lon-71.0_20240120_T19FCE_t105,30.833680,0.912883,0.686206,1.102936,0.028729,0.812618,0.792388
lat-50.0_lon-71.0_20240120_T19FCE_t251,36.267747,0.938275,0.497899,0.551241,0.015368,0.831953,0.924622
lat13.0_lon14.0_20231029_T33PUQ_t033,24.464417,0.820708,2.558393,2.617183,0.059811,0.776270,0.903351
lat13.0_lon14.0_20231029_T33PUQ_t052,32.055639,0.946309,1.954062,1.304286,0.024958,0.919053,0.979264
lat13.0_lon14.0_20231029_T33PUQ_t053,31.700641,0.956359,2.488408,1.434289,0.026000,0.937550,0.987109
lat13.0_lon14.0_20231029_T33PUQ_t054,30.813456,0.949396,1.948952,1.577592,0.028796,0.924490,0.973568
lat13.0_lon14.0_20231029_T33PUQ_t058,34.516667,0.952770,1.419395,0.820258,0.018800,0.910196,0.968752
lat13.0_lon14.0_20231029_T33PUQ_t066,31.692559,0.950593,1.883369,1.437630,0.026024,0.919056,0.960989
lat13.0_lon14.0_20231029_T33PUQ_t070,38.742946,0.968839,0.864902,0.611711,0.011557,0.922153,0.972268
lat13.0_lon14.0_20231029_T33PUQ_t086,33.927301,0.926690,1.195636,0.836591,0.020120,0.881594,0.974348
lat13.0_lon14.0_20231029_T33PUQ_t089,34.580555,0.961110,1.314912,1.011952,0.018663,0.920593,0.971027
lat13.0_lon14.0_20231029_T33PUQ_t091,31.495817,0.943426,2.016927,1.272336,0.026620,0.908952,0.962115
lat13.0_lon14.0_20231029_T33PUQ_t114,38.534996,0.973152,1.892490,1.342722,0.011837,0.936788,0.968095
lat13.0_lon14.0_20231029_T33PUQ_t126,36.817928,0.959958,2.657905,1.807280,0.014425,0.912793,0.965250
lat13.5_lon40.7_20250330_T37PFQ_t029,35.856632,0.948379,0.624202,0.943348,0.016113,0.822437,0.944198
lat13.5_lon40.7_20250330_T37PFQ_t033,31.838598,0.844018,0.752405,0.814095,0.025590,0.710149,0.863482
lat13.5_lon40.7_20250330_T37PFQ_t072,33.912253,0.871323,0.442963,0.563389,0.020155,0.739190,0.932763
lat13.5_lon40.7_20250330_T37PFQ_t102,31.778156,0.829658,0.863507,1.072781,0.025769,0.670433,0.865557
lat13.5_lon40.7_20250330_T37PFQ_t103,34.835778,0.916251,0.672934,0.686189,0.018122,0.831944,0.920463
lat13.5_lon40.7_20250330_T37PFQ_t132,34.730070,0.956790,0.961562,0.737209,0.018344,0.931791,0.985602
lat13.5_lon40.7_20250330_T37PFQ_t134,33.674346,0.908201,0.643593,0.699087,0.020715,0.848409,0.953402
lat13.5_lon40.7_20250330_T37PFQ_t135,33.153029,0.914047,0.750232,1.002788,0.021996,0.836276,0.930091
lat13.5_lon40.7_20250330_T37PFQ_t212,37.741932,0.952046,0.541160,0.442228,0.012969,0.900444,0.976080
lat14.5_lon33.5_20251024_T36PWB_t069,35.631991,0.951555,1.571031,0.843404,0.016535,0.919703,0.957087
lat14.5_lon33.5_20251024_T36PWB_t085,34.963531,0.932093,1.807813,0.977156,0.017858,0.877885,0.929233
lat14.5_lon33.5_20251024_T36PWB_t097,35.523753,0.958111,1.802290,0.964693,0.016742,0.931508,0.974474
lat17.0_lon95.5_20251224_T46QGD_t163,30.683665,0.893971,3.539924,1.641853,0.029229,0.840316,0.952192
lat17.0_lon95.5_20251224_T46QGD_t200,30.978515,0.909524,3.771396,2.146587,0.028254,0.863852,0.955545
lat17.0_lon95.5_20251224_T46QGD_t278,29.421477,0.885869,3.985130,3.157577,0.033801,0.793515,0.862119
lat18.0_lon33.0_20231202_T36QWF_t104,39.476810,0.969802,0.351488,0.301207,0.010621,0.914238,0.977282
lat18.0_lon33.0_20231202_T36QWF_t106,37.615764,0.957071,0.424056,0.352111,0.013159,0.887318,0.976707
lat19.4_lon-99.1_20260221_T14QMG_t039,36.259911,0.928855,1.258716,1.122824,0.015382,0.848425,0.916934
lat19.4_lon-99.1_20260221_T14QMG_t045,41.103285,0.963564,1.544614,1.474316,0.008807,0.878478,0.919959
lat19.4_lon-99.1_20260221_T14QMG_t071,34.965919,0.889777,1.641135,1.516463,0.017853,0.757128,0.890046
lat21.0_lon17.5_20231203_T33QYD_t072,34.491582,0.933705,0.802434,0.790390,0.018855,0.874235,0.979559
lat21.0_lon17.5_20231203_T33QYD_t169,27.805053,0.796685,0.894929,1.849398,0.040714,0.684984,0.858557
lat22.5_lon78.0_20250129_T43QHE_t056,34.181835,0.908900,1.246500,1.322144,0.019539,0.794421,0.915266
lat22.5_lon78.0_20250129_T43QHE_t057,39.593004,0.955145,1.233401,1.252411,0.010480,0.818866,0.905712
lat22.5_lon78.0_20250129_T43QHE_t082,32.655769,0.898964,1.496812,1.467579,0.023292,0.815991,0.895791
lat22.5_lon78.0_20250129_T43QHE_t118,33.075327,0.927147,2.196157,1.478734,0.022194,0.875780,0.931524
lat23.0_lon88.0_20231227_T45QXF_t036,31.164825,0.902450,4.262905,2.207263,0.027654,0.819958,0.933501
lat23.0_lon88.0_20231227_T45QXF_t046,31.217759,0.900262,3.979103,2.260210,0.027486,0.822436,0.923644
lat23.0_lon88.0_20231227_T45QXF_t068,32.213262,0.899821,3.312905,2.185380,0.024510,0.824331,0.927282
lat23.0_lon88.0_20231227_T45QXF_t075,33.418646,0.931769,2.030381,1.145099,0.021334,0.881311,0.921279
lat23.0_lon88.0_20231227_T45QXF_t101,35.992925,0.935340,2.053078,1.147010,0.015862,0.856259,0.917351
lat23.0_lon88.0_20231227_T45QXF_t110,33.913197,0.902631,2.383245,1.308942,0.020153,0.816337,0.923020
lat23.5_lon58.5_20231226_T40QFL_t021,32.766593,0.877666,1.642523,2.282957,0.022997,0.784638,0.851195
lat23.5_lon58.5_20231226_T40QFL_t129,28.118716,0.793318,1.423993,2.581659,0.039270,0.690762,0.833683
lat23.5_lon58.5_20231226_T40QFL_t173,31.026439,0.827589,1.143366,1.680219,0.028098,0.725695,0.833152
lat23.5_lon58.5_20231226_T40QFL_t182,29.166034,0.775777,1.535357,2.378367,0.034810,0.672022,0.850175
lat23.5_lon69.5_20231003_T42QWL_t009,35.332267,0.951856,1.265622,0.719297,0.017115,0.927275,0.958094
lat23.5_lon69.5_20231003_T42QWL_t019,34.071989,0.942498,1.450269,0.982224,0.019788,0.918037,0.962322
lat26.0_lon-99.5_20230627_T14RMP_t013,33.840193,0.869336,0.820369,1.050431,0.020323,0.698387,0.837918
lat26.0_lon-99.5_20230627_T14RMP_t028,40.995068,0.973250,1.283125,0.986446,0.008918,0.943436,0.976428
lat26.5_lon71.0_20250131_T42RYQ_t013,35.126212,0.934558,0.725314,0.508391,0.017526,0.833796,0.878069
lat26.5_lon71.0_20250131_T42RYQ_t025,36.361719,0.928315,1.197322,0.815909,0.015202,0.803754,0.857944
lat26.5_lon71.0_20250131_T42RYQ_t050,33.869889,0.935250,1.854365,1.012831,0.020254,0.863378,0.950845
lat26.5_lon71.0_20250131_T42RYQ_t056,32.268436,0.868185,1.118139,0.813328,0.024354,0.754245,0.858689
lat26.5_lon71.0_20250131_T42RYQ_t059,33.180938,0.932973,1.488135,0.813904,0.021926,0.877676,0.938596
lat26.5_lon71.0_20250131_T42RYQ_t067,31.825491,0.866821,1.044098,0.773882,0.025629,0.767384,0.882268
lat26.5_lon71.0_20250131_T42RYQ_t089,33.472252,0.908304,0.893076,0.685062,0.021203,0.837319,0.919556
lat26.5_lon71.0_20250131_T42RYQ_t100,34.614229,0.918943,0.724070,0.555452,0.018590,0.845754,0.896572
lat26.5_lon71.0_20250131_T42RYQ_t135,35.932489,0.934211,0.895547,0.646197,0.015973,0.858299,0.902930
lat26.5_lon71.0_20250131_T42RYQ_t158,32.061421,0.898963,1.068224,0.768370,0.024942,0.841988,0.892078
lat26.5_lon71.0_20250131_T42RYQ_t178,37.165777,0.948198,0.675151,0.451821,0.013858,0.883908,0.917411
lat27.0_lon13.5_20241001_T33RUL_t077,34.291116,0.903326,0.355536,0.523706,0.019295,0.796604,0.926179
lat27.0_lon13.5_20241001_T33RUL_t199,40.096303,0.961403,0.338019,0.299623,0.009890,0.828885,0.985675
lat27.5_lon112.0_20241201_T49RFL_t084,34.980677,0.886559,1.813240,3.669267,0.017822,0.700275,0.720066
lat28.6_lon77.2_20250531_T43RGM_t159,34.575388,0.891749,1.734422,1.391515,0.018674,0.737918,0.837248
lat29.5_lon34.0_20250731_T36RXT_t063,33.248730,0.956516,0.788496,0.707717,0.021755,0.950174,0.980841
lat29.5_lon34.0_20250731_T36RXT_t121,32.960083,0.851989,0.526817,0.656068,0.022490,0.743463,0.870258
lat29.5_lon34.0_20250731_T36RXT_t125,32.845114,0.898350,0.653080,0.673249,0.022790,0.856360,0.916287
lat29.5_lon34.0_20250731_T36RXT_t139,32.700004,0.891896,0.748498,0.752522,0.023174,0.845018,0.938642
lat29.5_lon34.0_20250731_T36RXT_t210,31.214549,0.837332,0.737329,0.882309,0.027496,0.747582,0.887613
lat30.05_lon2.88_20231203_T31RDP_t085,40.421868,0.964966,0.262954,0.315381,0.009526,0.743554,0.894103
lat30.05_lon2.88_20231203_T31RDP_t086,36.575864,0.945730,0.311617,0.471664,0.014832,0.803271,0.852818
lat30.05_lon2.88_20231203_T31RDP_t127,38.196524,0.942889,0.304311,0.343044,0.012308,0.778283,0.882160
lat30.05_lon2.88_20231203_T31RDP_t174,42.590533,0.966659,0.268041,0.190283,0.007421,0.796926,0.949496
lat30.05_lon2.88_20231203_T31RDP_t186,35.638997,0.963065,0.366613,0.443280,0.016522,0.878187,0.918580
lat30.05_lon2.88_20231203_T31RDP_t221,39.589896,0.964815,0.314381,0.307938,0.010483,0.879918,0.942799
lat30.05_lon31.25_20230626_T36RUU_t078,33.882439,0.917065,2.351359,1.650209,0.020225,0.855740,0.946168
lat30.05_lon31.25_20230626_T36RUU_t081,33.326185,0.923686,2.377868,1.733435,0.021562,0.880270,0.946799
