scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-29.5_lon29.5_20240526_T35JQH_t110,29.116975,0.713919,2.698922,3.003158,0.035007,0.424947,0.862282
lat-29.5_lon29.5_20240526_T35JQH_t153,31.391848,0.819925,2.559371,2.602909,0.026941,0.590785,0.883208
lat-29.5_lon29.5_20240526_T35JQH_t154,32.858138,0.833607,1.873312,2.195554,0.022756,0.625562,0.864365
lat-30.0_lon115.5_20260102_T50JLM_t062,34.589797,0.951750,1.008404,0.822263,0.018643,0.926941,0.972318
lat-30.0_lon115.5_20260102_T50JLM_t097,34.655484,0.959817,1.068130,0.925962,0.018502,0.941363,0.982525
lat-30.0_lon115.5_20260102_T50JLM_t118,32.514410,0.927345,1.068618,1.097068,0.023674,0.871141,0.976385
lat-30.0_lon115.5_20260102_T50JLM_t137,33.039177,0.933654,1.315562,1.073178,0.022286,0.897520,0.978578
lat-30.0_lon115.5_20260102_T50JLM_t202,35.664003,0.955655,0.961416,0.818570,0.016474,0.916712,0.980514
lat-30.0_lon115.5_20260102_T50JLM_t207,37.999801,0.965621,0.714549,0.659575,0.012590,0.905445,0.982950
lat-31.5_lon117.5_20260303_T50JNL_t043,35.962430,0.933945,0.669951,0.584047,0.015918,0.877105,0.949417
lat-31.5_lon117.5_20260303_T50JNL_t123,38.165501,0.964703,0.725815,0.531168,0.012352,0.927915,0.977286
lat-31.5_lon117.5_20260303_T50JNL_t165,37.445956,0.956994,0.675432,0.524447,0.013418,0.917949,0.980451
lat-32.0_lon-59.5_20240325_T21HTE_t128,32.372476,0.936598,1.513491,2.245147,0.024064,0.872167,0.941426
lat-32.0_lon-59.5_20240325_T21HTE_t145,34.821438,0.953244,1.489149,1.255978,0.018152,0.896951,0.971625
lat-32.0_lon-59.5_20240325_T21HTE_t160,35.881993,0.962597,1.405211,1.127026,0.016066,0.921659,0.980382
lat-32.0_lon-59.5_20240325_T21HTE_t194,29.918074,0.900846,1.930364,2.030548,0.031922,0.854888,0.924897
lat-32.0_lon-59.5_20240325_T21HTE_t231,30.591880,0.915123,1.965371,1.867709,0.029540,0.857387,0.945532
lat-32.0_lon-59.5_20240325_T21HTE_t256,33.734991,0.949151,1.569022,1.540596,0.020571,0.910599,0.965482
lat-33.5_lon19.5_20250123_T34HCJ_t027,34.257441,0.945862,0.541892,0.664246,0.019370,0.914351,0.970098
lat-33.5_lon19.5_20250123_T34HCJ_t115,35.579754,0.948663,0.485873,0.667414,0.016635,0.913061,0.985692
lat-33.5_lon19.5_20250123_T34HCJ_t148,33.108516,0.911802,0.778540,0.883602,0.022109,0.849172,0.976566
lat-33.5_lon19.5_20250123_T34HCJ_t199,35.094520,0.943477,0.559994,0.563158,0.017590,0.916254,0.967749
lat-33.5_lon19.5_20250123_T34HCJ_t201,34.576410,0.948729,0.668957,0.813111,0.018672,0.907427,0.980176
lat-33.5_lon19.5_20250123_T34HCJ_t210,33.521763,0.920364,1.644000,1.156890,0.021082,0.867953,0.965396
lat-33.5_lon19.5_20250123_T34HCJ_t214,30.484881,0.836955,1.038498,1.248506,0.029906,0.743924,0.933910
lat-37.0_lon149.0_20250104_T55HFU_t127,31.939235,0.916925,1.400536,1.792617,0.025295,0.848100,0.965194
lat-40.0_lon-72.0_20260305_T18GYA_t173,33.639660,0.863291,3.010162,3.879791,0.020798,0.674612,0.936978
lat-40.0_lon-72.0_20260305_T18GYA_t222,34.229312,0.900766,1.046134,2.302410,0.019433,0.698800,0.922767
lat-40.0_lon-72.0_20260305_T18GYA_t239,34.790721,0.885514,1.052642,2.489978,0.018216,0.465459,0.885320
lat-40.0_lon-72.0_20260305_T18GYA_t297,34.259947,0.867479,2.593515,3.653676,0.019364,0.608652,0.896309
lat-47.0_lon-69.0_20260106_T19GDJ_t089,43.291576,0.972600,0.301309,0.199164,0.006846,0.768170,0.923847
lat-47.0_lon-69.0_20260106_T19GDJ_t132,42.897913,0.972786,0.298575,0.196407,0.007163,0.850222,0.965657
lat-47.0_lon-69.0_20260106_T19GDJ_t214,31.450434,0.842803,0.660348,1.186895,0.026760,0.748874,0.917018
lat-47.0_lon-69.0_20260106_T19GDJ_t231,32.817196,0.882766,0.969206,0.985660,0.022863,0.784687,0.939754
lat-5.5_lon-37.5_20240629_T24MXV_t137,36.206016,0.958520,1.737014,1.018096,0.015477,0.923046,0.970301
lat-5.5_lon-37.5_20240629_T24MXV_t150,37.453052,0.968509,1.265303,1.410587,0.013407,0.906271,0.977591
lat-5.5_lon-37.5_20240629_T24MXV_t181,38.162747,0.966717,1.383965,1.597302,0.012356,0.888157,0.956665
lat-5.5_lon-37.5_20240629_T24MXV_t211,37.388135,0.967598,1.260074,1.432093,0.013508,0.870203,0.971794
lat-5.5_lon-37.5_20240629_T24MXV_t212,37.440320,0.966997,1.423458,1.707852,0.013427,0.872143,0.969913
lat-5.5_lon-37.5_20240629_T24MXV_t218,38.193712,0.960308,1.008316,1.240662,0.012312,0.870172,0.964403
lat-5.5_lon-37.5_20240629_T24MXV_t226,33.883553,0.933604,1.785457,2.191722,0.020222,0.791570,0.949983
lat-5.5_lon-37.5_20240629_T24MXV_t295,37.419215,0.962834,1.098342,1.109458,0.013460,0.896640,0.972554
lat-50.0_lon-71.0_20240120_T19FCE_t105,36.801349,0.934004,0.537367,0.562691,0.014452,0.839555,0.944591
lat-50.0_lon-71.0_20240120_T19FCE_t251,39.291463,0.951799,0.328683,0.392114,0.010850,0.866716,0.963393
lat13.0_lon14.0_20231029_T33PUQ_t033,26.258612,0.845949,2.759946,2.198779,0.048648,0.806464,0.946727
lat13.0_lon14.0_20231029_T33PUQ_t052,31.824124,0.941457,2.098519,1.347850,0.025633,0.914669,0.978720
lat13.0_lon14.0_20231029_T33PUQ_t053,30.630621,0.947159,2.688829,1.590920,0.029408,0.930921,0.983628
lat13.0_lon14.0_20231029_T33PUQ_t054,31.740702,0.950733,1.902645,1.370591,0.025880,0.927991,0.976073
lat13.0_lon14.0_20231029_T33PUQ_t058,35.387465,0.956719,1.381525,0.771310,0.017007,0.912385,0.973492
lat13.0_lon14.0_20231029_T33PUQ_t066,32.214295,0.950614,1.872094,1.344956,0.024507,0.922803,0.965437
lat13.0_lon14.0_20231029_T33PUQ_t070,37.744216,0.959325,0.981301,0.678093,0.012965,0.902457,0.967205
lat13.0_lon14.0_20231029_T33PUQ_t086,34.111376,0.928210,1.185601,0.795008,0.019698,0.886216,0.976756
lat13.0_lon14.0_20231029_T33PUQ_t089,35.041975,0.962392,1.185917,0.980325,0.017697,0.924334,0.971912
lat13.0_lon14.0_20231029_T33PUQ_t091,31.546931,0.940099,1.871468,1.236586,0.026464,0.904546,0.963514
lat13.0_lon14.0_20231029_T33PUQ_t114,39.065794,0.972770,1.904991,1.279309,0.011136,0.932464,0.972136
lat13.0_lon14.0_20231029_T33PUQ_t126,37.408097,0.962159,2.573139,1.666211,0.013477,0.920392,0.969140
lat13.5_lon40.7_20250330_T37PFQ_t029,37.429393,0.954482,0.618778,0.774028,0.013444,0.848040,0.967749
lat13.5_lon40.7_20250330_T37PFQ_t033,32.306750,0.818582,0.901465,0.771613,0.024247,0.681866,0.884431
lat13.5_lon40.7_20250330_T37PFQ_t072,34.498666,0.869916,0.487640,0.536106,0.018839,0.750756,0.942332
lat13.5_lon40.7_20250330_T37PFQ_t102,31.755229,0.781208,0.762516,1.072685,0.025837,0.590408,0.868810
lat13.5_lon40.7_20250330_T37PFQ_t103,35.253802,0.904984,0.664761,0.654305,0.017271,0.809639,0.928826
lat13.5_lon40.7_20250330_T37PFQ_t132,33.955601,0.948410,0.927797,0.792919,0.020055,0.919724,0.983526
lat13.5_lon40.7_20250330_T37PFQ_t134,35.792812,0.934586,0.674066,0.552345,0.016232,0.886994,0.971548
lat13.5_lon40.7_20250330_T37PFQ_t135,34.399219,0.917185,0.719374,0.870703,0.019056,0.845083,0.946939
lat13.5_lon40.7_20250330_T37PFQ_t212,37.156352,0.940575,0.517591,0.469714,0.013873,0.877779,0.973861
lat14.5_lon33.5_20251024_T36PWB_t069,36.282366,0.954564,1.513016,0.796686,0.015342,0.924243,0.955346
lat14.5_lon33.5_20251024_T36PWB_t085,34.680277,0.926576,1.811235,0.988026,0.018450,0.873030,0.924554
lat14.5_lon33.5_20251024_T36PWB_t097,35.227014,0.953148,1.871495,0.993182,0.017324,0.926055,0.972153
lat17.0_lon95.5_20251224_T46QGD_t163,31.189197,0.901178,3.127076,1.543474,0.027577,0.847904,0.957768
lat17.0_lon95.5_20251224_T46QGD_t200,31.254696,0.906377,3.478210,2.043583,0.027369,0.860980,0.963117
lat17.0_lon95.5_20251224_T46QGD_t278,29.646751,0.887467,4.368518,2.868775,0.032935,0.798796,0.892579
lat18.0_lon33.0_20231202_T36QWF_t104,40.628123,0.973216,0.348280,0.263673,0.009302,0.922663,0.982513
lat18.0_lon33.0_20231202_T36QWF_t106,38.211802,0.957786,0.355194,0.322506,0.012286,0.891382,0.980338
lat19.4_lon-99.1_20260221_T14QMG_t039,36.811799,0.926673,1.244176,1.082016,0.014435,0.848543,0.924644
lat19.4_lon-99.1_20260221_T14QMG_t045,41.138795,0.960577,1.430208,1.474227,0.008771,0.875069,0.920157
lat19.4_lon-99.1_20260221_T14QMG_t071,35.944371,0.901601,1.737741,1.372437,0.015951,0.781310,0.916135
lat21.0_lon17.5_20231203_T33QYD_t072,34.472686,0.933630,0.745557,0.791283,0.018896,0.877910,0.979563
lat21.0_lon17.5_20231203_T33QYD_t169,29.932036,0.839655,1.014788,1.450615,0.031871,0.750932,0.921922
lat22.5_lon78.0_20250129_T43QHE_t056,34.341478,0.879886,1.273750,1.171130,0.019183,0.718013,0.916704
lat22.5_lon78.0_20250129_T43QHE_t057,38.358813,0.922053,1.177720,1.226645,0.012080,0.684129,0.885408
lat22.5_lon78.0_20250129_T43QHE_t082,32.765875,0.851916,1.730970,1.388678,0.022999,0.693734,0.903216
lat22.5_lon78.0_20250129_T43QHE_t118,33.283924,0.924753,2.165021,1.412679,0.021667,0.874715,0.939222
lat23.0_lon88.0_20231227_T45QXF_t036,31.775682,0.907936,3.709542,1.921689,0.025776,0.837344,0.954490
lat23.0_lon88.0_20231227_T45QXF_t046,32.618154,0.921345,3.026720,1.623224,0.023393,0.858566,0.962899
lat23.0_lon88.0_20231227_T45QXF_t068,33.083680,0.917211,2.809574,1.610897,0.022173,0.855461,0.956543
lat23.0_lon88.0_20231227_T45QXF_t075,33.659956,0.930454,1.971606,1.114011,0.020749,0.882808,0.932009
lat23.0_lon88.0_20231227_T45QXF_t101,36.618399,0.939452,1.893849,1.023037,0.014760,0.878480,0.945161
lat23.0_lon88.0_20231227_T45QXF_t110,34.980033,0.913442,2.028418,1.086432,0.017824,0.841629,0.951055
lat23.5_lon58.5_20231226_T40QFL_t021,34.248890,0.897010,1.622995,1.933121,0.019389,0.814692,0.897474
lat23.5_lon58.5_20231226_T40QFL_t129,28.650722,0.768648,1.442597,2.426025,0.036937,0.660519,0.856253
lat23.5_lon58.5_20231226_T40QFL_t173,31.001100,0.806634,1.208556,1.687605,0.028180,0.711731,0.830326
lat23.5_lon58.5_20231226_T40QFL_t182,29.604374,0.767933,1.348763,2.227070,0.033096,0.663454,0.866281
lat23.5_lon69.5_20231003_T42QWL_t009,35.284541,0.947886,1.265483,0.737953,0.017210,0.920932,0.955008
lat23.5_lon69.5_20231003_T42QWL_t019,34.645917,0.944982,1.498487,0.947018,0.018523,0.922116,0.964827
lat26.0_lon-99.5_20230627_T14RMP_t013,33.534502,0.831492,1.125975,1.150746,0.021051,0.614307,0.822124
lat26.0_lon-99.5_20230627_T14RMP_t028,40.833583,0.970316,1.290288,1.009359,0.009085,0.936540,0.972151
lat26.5_lon71.0_20250131_T42RYQ_t013,35.237611,0.928270,0.686707,0.491876,0.017303,0.828287,0.897509
lat26.5_lon71.0_20250131_T42RYQ_t025,36.264887,0.920384,1.187788,0.821945,0.015373,0.794589,0.867962
lat26.5_lon71.0_20250131_T42RYQ_t050,33.212884,0.924749,1.880159,1.043166,0.021845,0.859476,0.951080
lat26.5_lon71.0_20250131_T42RYQ_t056,32.567148,0.866255,1.076000,0.776009,0.023531,0.767925,0.885287
lat26.5_lon71.0_20250131_T42RYQ_t059,34.169185,0.930721,1.217538,0.710880,0.019568,0.880089,0.943955
lat26.5_lon71.0_20250131_T42RYQ_t067,31.954499,0.858181,1.026661,0.762924,0.025251,0.761093,0.887475
lat26.5_lon71.0_20250131_T42RYQ_t089,33.733669,0.904490,0.924064,0.659112,0.020574,0.836506,0.929128
lat26.5_lon71.0_20250131_T42RYQ_t100,34.483667,0.910688,0.748524,0.558349,0.018872,0.838404,0.900701
lat26.5_lon71.0_20250131_T42RYQ_t135,35.725193,0.920378,0.963712,0.653239,0.016358,0.838633,0.901188
lat26.5_lon71.0_20250131_T42RYQ_t158,32.108708,0.891303,1.085770,0.746046,0.024806,0.839376,0.893991
lat26.5_lon71.0_20250131_T42RYQ_t178,36.891357,0.937364,0.724568,0.458747,0.014303,0.869164,0.914718
lat27.0_lon13.5_20241001_T33RUL_t077,34.449946,0.899026,0.336317,0.519473,0.018945,0.793812,0.928879
lat27.0_lon13.5_20241001_T33RUL_t199,40.287686,0.961631,0.304329,0.294562,0.009674,0.826977,0.986223
lat27.5_lon112.0_20241201_T49RFL_t084,38.220719,0.915374,2.032215,2.222295,0.012273,0.739675,0.855292
lat28.6_lon77.2_20250531_T43RGM_t159,36.392627,0.913036,1.665508,1.126329,0.015148,0.779677,0.900067
lat29.5_lon34.0_20250731_T36RXT_t063,32.929916,0.951999,0.725511,0.728500,0.022569,0.943620,0.979159
lat29.5_lon34.0_20250731_T36RXT_t121,32.496910,0.800712,0.581406,0.703302,0.023722,0.672712,0.850861
lat29.5_lon34.0_20250731_T36RXT_t125,33.292979,0.891697,0.645326,0.652114,0.021645,0.852087,0.919173
lat29.5_lon34.0_20250731_T36RXT_t139,32.714624,0.880753,0.759984,0.762374,0.023135,0.835981,0.937918
lat29.5_lon34.0_20250731_T36RXT_t210,31.966131,0.851580,0.796177,0.832860,0.025217,0.781363,0.893726
lat30.05_lon2.88_20231203_T31RDP_t085,41.753367,0.969003,0.198265,0.233024,0.008172,0.786699,0.936407
