scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-29.5_lon29.5_20240526_T35JQH_t110,30.292813,0.809034,4.136300,2.607536,0.030574,0.687371,0.895594
lat-29.5_lon29.5_20240526_T35JQH_t153,33.298885,0.878088,3.142668,2.088226,0.021630,0.714258,0.925879
lat-29.5_lon29.5_20240526_T35JQH_t154,32.025976,0.837941,2.546554,2.363276,0.025044,0.691182,0.855815
lat-30.0_lon115.5_20260102_T50JLM_t062,33.949152,0.936709,0.920094,0.856191,0.020070,0.907806,0.967148
lat-30.0_lon115.5_20260102_T50JLM_t097,35.056313,0.961483,0.990694,0.880063,0.017668,0.944009,0.984515
lat-30.0_lon115.5_20260102_T50JLM_t118,32.860995,0.917443,1.224130,1.053971,0.022748,0.850094,0.977038
lat-30.0_lon115.5_20260102_T50JLM_t137,33.520698,0.936480,1.346984,1.011997,0.021085,0.903597,0.980839
lat-30.0_lon115.5_20260102_T50JLM_t202,34.665349,0.940649,0.933054,0.947410,0.018481,0.894705,0.974260
lat-30.0_lon115.5_20260102_T50JLM_t207,38.000996,0.957238,0.749945,0.661218,0.012588,0.877085,0.982364
lat-31.5_lon117.5_20260303_T50JNL_t043,36.186313,0.936913,0.798469,0.589624,0.015513,0.884021,0.952558
lat-31.5_lon117.5_20260303_T50JNL_t123,37.170389,0.951232,0.793925,0.600470,0.013851,0.904572,0.972611
lat-31.5_lon117.5_20260303_T50JNL_t165,36.512478,0.943813,0.609466,0.565579,0.014941,0.899396,0.976248
lat-32.0_lon-59.5_20240325_T21HTE_t128,31.349620,0.872643,2.218072,3.063623,0.027072,0.731536,0.900009
lat-32.0_lon-59.5_20240325_T21HTE_t145,34.688622,0.946517,1.252296,1.205920,0.018432,0.887098,0.966911
lat-32.0_lon-59.5_20240325_T21HTE_t160,35.174592,0.955400,1.365481,1.089847,0.017429,0.915974,0.977734
lat-32.0_lon-59.5_20240325_T21HTE_t194,29.859700,0.893641,1.980989,2.092352,0.032138,0.842372,0.918659
lat-32.0_lon-59.5_20240325_T21HTE_t231,30.372720,0.870728,2.014758,2.352371,0.030295,0.759054,0.911788
lat-32.0_lon-59.5_20240325_T21HTE_t256,33.460352,0.931495,1.402005,1.602542,0.021232,0.868394,0.956152
lat-33.5_lon19.5_20250123_T34HCJ_t027,32.376797,0.910816,0.634718,0.841585,0.024052,0.860801,0.952557
lat-33.5_lon19.5_20250123_T34HCJ_t115,35.414069,0.946120,0.456041,0.676963,0.016955,0.912709,0.985655
lat-33.5_lon19.5_20250123_T34HCJ_t148,32.571029,0.890905,0.847939,0.935124,0.023521,0.814696,0.972846
lat-33.5_lon19.5_20250123_T34HCJ_t199,35.075836,0.939198,0.582012,0.573478,0.017628,0.913485,0.967511
lat-33.5_lon19.5_20250123_T34HCJ_t201,35.173290,0.943558,0.727058,0.758297,0.017432,0.890799,0.981622
lat-33.5_lon19.5_20250123_T34HCJ_t210,31.836234,0.889427,2.007009,1.449498,0.025597,0.830736,0.950747
lat-33.5_lon19.5_20250123_T34HCJ_t214,21.788892,0.450839,1.284965,3.406088,0.081387,0.357542,0.692729
lat-37.0_lon149.0_20250104_T55HFU_t127,29.968485,0.852253,1.564436,2.190090,0.031738,0.743788,0.947057
lat-40.0_lon-72.0_20260305_T18GYA_t173,30.127670,0.704010,9.001122,6.972754,0.031161,0.493609,0.846123
lat-40.0_lon-72.0_20260305_T18GYA_t222,28.024841,0.755671,1.596642,4.471857,0.039697,0.476242,0.787387
lat-40.0_lon-72.0_20260305_T18GYA_t239,31.720041,0.819598,1.672495,2.956743,0.025942,0.484644,0.836108
lat-40.0_lon-72.0_20260305_T18GYA_t297,33.069195,0.817230,5.532955,4.255565,0.022210,0.563316,0.869370
lat-47.0_lon-69.0_20260106_T19GDJ_t089,41.683850,0.956483,0.333258,0.232868,0.008238,0.693264,0.899810
