scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat26.5_lon71.0_20250131_T42RYQ_t089,32.956194,0.895782,0.934708,0.741169,0.022500,0.824289,0.914451
lat26.5_lon71.0_20250131_T42RYQ_t100,34.012219,0.909358,0.831796,0.604946,0.019925,0.833781,0.890795
lat26.5_lon71.0_20250131_T42RYQ_t135,34.633717,0.912624,0.924912,0.756746,0.018549,0.831065,0.891608
lat26.5_lon71.0_20250131_T42RYQ_t158,31.916306,0.892876,1.018492,0.783248,0.025362,0.839344,0.895999
lat26.5_lon71.0_20250131_T42RYQ_t178,35.949960,0.933905,0.667956,0.517099,0.015941,0.864107,0.905091
lat27.0_lon13.5_20241001_T33RUL_t077,33.258788,0.881380,0.392800,0.591093,0.021730,0.760685,0.911465
lat27.0_lon13.5_20241001_T33RUL_t199,39.890443,0.957974,0.343533,0.301995,0.010127,0.815665,0.985290
lat27.5_lon112.0_20241201_T49RFL_t084,32.569637,0.823218,3.027129,3.984833,0.023524,0.621111,0.713610
lat28.6_lon77.2_20250531_T43RGM_t159,28.966067,0.799245,4.403232,2.790316,0.035620,0.658759,0.753426
lat29.5_lon34.0_20250731_T36RXT_t063,33.365406,0.949639,0.771444,0.708464,0.021465,0.943546,0.979623
lat29.5_lon34.0_20250731_T36RXT_t121,28.379966,0.714602,0.829762,1.072923,0.038107,0.610833,0.768961
lat29.5_lon34.0_20250731_T36RXT_t125,31.075769,0.866708,0.686829,0.845406,0.027939,0.829644,0.891322
lat29.5_lon34.0_20250731_T36RXT_t139,31.403202,0.864425,0.802274,0.879538,0.026905,0.822037,0.923982
lat29.5_lon34.0_20250731_T36RXT_t210,29.237911,0.806458,0.917139,1.115851,0.034523,0.741264,0.855307
lat30.05_lon2.88_20231203_T31RDP_t085,39.580405,0.959459,0.317731,0.325908,0.010495,0.737293,0.889606
lat30.05_lon2.88_20231203_T31RDP_t086,35.230569,0.940863,0.421272,0.526915,0.017317,0.820283,0.851124
lat30.05_lon2.88_20231203_T31RDP_t127,35.674063,0.922848,0.438672,0.430889,0.016455,0.759431,0.846659
lat30.05_lon2.88_20231203_T31RDP_t174,41.516288,0.957849,0.334109,0.210782,0.008398,0.743316,0.936138
lat30.05_lon2.88_20231203_T31RDP_t186,35.042034,0.958443,0.539374,0.465928,0.017697,0.864436,0.905247
lat30.05_lon2.88_20231203_T31RDP_t221,38.533523,0.951480,0.343213,0.340150,0.011839,0.850277,0.934850
lat30.05_lon31.25_20230626_T36RUU_t078,31.803381,0.884471,2.897072,1.991737,0.025694,0.822090,0.933851
lat30.05_lon31.25_20230626_T36RUU_t081,32.439946,0.902872,2.605450,1.855969,0.023878,0.861103,0.939936
lat30.05_lon31.25_20230626_T36RUU_t094,32.151874,0.906941,2.818019,1.996918,0.024683,0.868628,0.952904
lat30.05_lon31.25_20230626_T36RUU_t101,30.092138,0.878895,3.092475,2.437155,0.031289,0.848163,0.946629
lat30.05_lon31.25_20230626_T36RUU_t113,32.424467,0.902328,2.446180,1.827969,0.023921,0.866498,0.951473
lat30.05_lon31.25_20230626_T36RUU_t151,33.213853,0.931128,2.332755,1.535932,0.021843,0.904771,0.965428
lat30.05_lon31.25_20230626_T36RUU_t207,35.201494,0.937080,0.691374,0.600822,0.017375,0.845508,0.918419
lat30.05_lon31.25_20230626_T36RUU_t209,33.682620,0.922039,1.233016,0.836375,0.020695,0.892668,0.953406
