scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-29.5_lon29.5_20240526_T35JQH_t110,15.110930,0.143979,7.921489,15.573544,0.175571,0.053156,0.116942
lat-29.5_lon29.5_20240526_T35JQH_t153,22.753418,0.617287,7.662302,6.743903,0.072833,0.377593,0.525203
lat-29.5_lon29.5_20240526_T35JQH_t154,24.754463,0.616667,4.796481,5.731809,0.057846,0.392269,0.515983
lat-30.0_lon115.5_20260102_T50JLM_t062,35.082849,0.953778,0.857953,0.785447,0.017614,0.931670,0.974195
lat-30.0_lon115.5_20260102_T50JLM_t097,34.891675,0.961311,0.913003,0.900908,0.018006,0.943264,0.983385
lat-30.0_lon115.5_20260102_T50JLM_t118,31.066916,0.920891,1.130477,1.259833,0.027968,0.865704,0.967697
lat-30.0_lon115.5_20260102_T50JLM_t137,33.518923,0.935659,1.168911,1.012937,0.021089,0.905009,0.979271
lat-30.0_lon115.5_20260102_T50JLM_t202,35.921712,0.955495,0.902777,0.779689,0.015992,0.914832,0.980746
lat-30.0_lon115.5_20260102_T50JLM_t207,37.673664,0.961776,0.684590,0.669201,0.013071,0.888461,0.981423
lat-31.5_lon117.5_20260303_T50JNL_t043,34.869151,0.927341,0.719862,0.644192,0.018053,0.871129,0.941481
lat-31.5_lon117.5_20260303_T50JNL_t123,38.097378,0.963475,0.669554,0.536164,0.012449,0.927617,0.976481
lat-31.5_lon117.5_20260303_T50JNL_t165,37.050275,0.958108,0.666897,0.535655,0.014044,0.921896,0.978954
lat-32.0_lon-59.5_20240325_T21HTE_t128,29.461950,0.899054,2.119116,3.437079,0.033644,0.811425,0.881617
lat-32.0_lon-59.5_20240325_T21HTE_t145,35.474643,0.956225,1.287864,1.119001,0.016837,0.905965,0.972695
lat-32.0_lon-59.5_20240325_T21HTE_t160,37.025802,0.965103,1.213542,0.967657,0.014083,0.932114,0.983194
lat-32.0_lon-59.5_20240325_T21HTE_t194,27.851196,0.877662,1.942651,2.447564,0.040499,0.829968,0.884420
lat-32.0_lon-59.5_20240325_T21HTE_t231,29.358811,0.909045,1.684602,2.101570,0.034045,0.855131,0.920931
lat-32.0_lon-59.5_20240325_T21HTE_t256,33.321509,0.944981,1.369791,1.572595,0.021574,0.909253,0.958124
lat-33.5_lon19.5_20250123_T34HCJ_t027,29.797715,0.914242,0.870738,1.135818,0.032368,0.868416,0.920560
lat-33.5_lon19.5_20250123_T34HCJ_t115,34.495323,0.943881,0.546483,0.757932,0.018847,0.909317,0.982363
lat-33.5_lon19.5_20250123_T34HCJ_t148,29.262111,0.869903,1.115047,1.398617,0.034427,0.779998,0.943699
lat-33.5_lon19.5_20250123_T34HCJ_t199,33.546631,0.931054,0.703987,0.664881,0.021022,0.898677,0.955349
lat-33.5_lon19.5_20250123_T34HCJ_t201,35.363684,0.949723,0.757507,0.767792,0.017054,0.909942,0.982035
lat-33.5_lon19.5_20250123_T34HCJ_t210,31.806716,0.899104,1.767460,1.419111,0.025684,0.835310,0.952502
lat-33.5_lon19.5_20250123_T34HCJ_t214,22.132031,0.688594,1.819004,3.196306,0.078235,0.580760,0.713830
lat-37.0_lon149.0_20250104_T55HFU_t127,28.398489,0.876669,2.074889,3.134321,0.038026,0.793358,0.917618
lat-40.0_lon-72.0_20260305_T18GYA_t173,18.725081,0.425356,16.687295,16.229678,0.115810,0.230643,0.430442
lat-40.0_lon-72.0_20260305_T18GYA_t222,30.231362,0.853739,1.406688,3.568505,0.030792,0.611559,0.840229
