scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-29.5_lon142.0_20250123_T54JWN_t064,30.750351,0.677302,0.680113,0.854382,0.029006,0.290446,0.803601
lat-29.5_lon28.5_20250902_T35JPH_t199,29.163273,0.664953,1.840307,2.050832,0.034821,0.276032,0.730775
lat-29.5_lon28.5_20250902_T35JPH_t223,28.283313,0.641625,2.396729,3.328160,0.038533,0.323765,0.799780
lat-29.5_lon28.5_20250902_T35JPH_t273,28.969213,0.679137,2.252535,3.082162,0.035607,0.332832,0.802927
lat-29.5_lon29.0_20250902_T35JPH_t106,22.742524,0.444268,1.695542,2.935738,0.072925,0.275096,0.663572
lat-29.5_lon29.0_20250902_T35JPH_t284,26.243261,0.595843,2.951043,3.249367,0.048735,0.295785,0.834071
lat-29.5_lon29.5_20240526_T35JQH_t110,28.138736,0.682575,2.847573,3.358645,0.039180,0.369734,0.814471
lat-29.5_lon29.5_20240526_T35JQH_t153,29.178035,0.713213,3.375759,3.377647,0.034761,0.285484,0.797156
lat-29.5_lon29.5_20240526_T35JQH_t154,30.613135,0.695841,3.227339,2.946629,0.029467,0.229560,0.751309
lat-30.0_lon115.5_20260102_T50JLM_t062,25.464150,0.507304,2.284149,2.269563,0.053308,0.237899,0.743264
lat-30.0_lon115.5_20260102_T50JLM_t097,25.231081,0.546490,2.451532,2.723748,0.054758,0.333815,0.830013
lat-30.0_lon115.5_20260102_T50JLM_t118,25.719902,0.649969,2.157648,2.400608,0.051761,0.376174,0.880049
lat-30.0_lon115.5_20260102_T50JLM_t137,25.170510,0.603069,2.795396,2.596485,0.055141,0.374525,0.860207
lat-30.0_lon115.5_20260102_T50JLM_t202,26.972152,0.621225,2.270800,2.162359,0.044812,0.317177,0.858288
lat-30.0_lon115.5_20260102_T50JLM_t207,30.024465,0.768474,1.544629,1.590436,0.031534,0.326298,0.896398
lat-31.5_lon117.5_20260303_T50JNL_t043,29.356775,0.653946,1.201709,1.218085,0.034053,0.280394,0.746488
lat-31.5_lon117.5_20260303_T50JNL_t123,29.001003,0.669554,1.624378,1.469031,0.035477,0.297841,0.795094
lat-31.5_lon117.5_20260303_T50JNL_t165,28.587036,0.660924,1.377127,1.419667,0.037209,0.292997,0.842210
lat-32.0_lon-59.5_20240325_T21HTE_t128,26.724470,0.691474,3.476748,3.552251,0.046108,0.392664,0.827697
lat-32.0_lon-59.5_20240325_T21HTE_t145,26.246099,0.668239,3.755056,3.387390,0.048719,0.308556,0.764026
lat-32.0_lon-59.5_20240325_T21HTE_t160,26.961409,0.675924,3.778685,3.096579,0.044867,0.378395,0.834065
lat-32.0_lon-59.5_20240325_T21HTE_t194,24.458551,0.565052,4.829864,3.781076,0.059851,0.317549,0.728493
lat-32.0_lon-59.5_20240325_T21HTE_t231,24.259661,0.596379,4.762130,3.976688,0.061237,0.340004,0.755036
lat-32.0_lon-59.5_20240325_T21HTE_t256,25.116884,0.600126,4.470707,3.809952,0.055482,0.314169,0.751603
lat-33.5_lon19.5_20250123_T34HCJ_t027,27.504558,0.668801,0.969922,1.405553,0.042148,0.425774,0.859208
lat-33.5_lon19.5_20250123_T34HCJ_t115,28.127428,0.659950,0.760602,1.514994,0.039231,0.393598,0.921599
